rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.829545084635417,7.216137728,1.5574254989624023,4.746585412245058
16,32,3686400,3.8115614652633667,6.617750016,1.5160987377166748,4.554422494519249
64,128,14745600,3.934005840619405,7.998511616,1.4765814542770386,4.377953835005537
